index,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02
isBaja,0,0,1,3,0,2,6,8,5,4,5,8,10,7,7,8,2
DHO,0,0,0,1,0,2,4,4,2,3,2,3,5,4,6,8,1
IT integrator,0,0,0,0,0,0,0,2,1,0,0,3,0,0,0,0,0
Venta Directa,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WEB,0,0,1,2,0,0,1,2,2,1,3,2,5,3,1,0,1
DHO_X FIBER,0,0,0,0,0,1,0,0,0,2,1,1,1,0,1,2,1
DHO_X MUSIC F,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
DHO_X PRIVACY,0,0,0,0,0,0,2,3,1,1,2,1,3,0,0,0,1
DHO_X PROTECTION F,0,0,0,0,0,0,0,2,3,0,1,1,1,2,2,6,0
DHO_X SECURITY,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,0
DHO_X UCOM,0,0,0,1,1,2,1,1,2,4,3,2,4,3,5,6,0
IT integrator_X FIBER,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0
IT integrator_X MUSIC F,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
IT integrator_X PROTECTION F,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,0
IT integrator_X SECURITY,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IT integrator_X UCOM,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
Venta Directa_X MUSIC F,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Venta Directa_X PRIVACY,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
WEB_X FIBER,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0
WEB_X MUSIC F,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
WEB_X PROTECTION F,0,0,0,2,0,0,1,1,0,0,0,0,0,2,0,0,0
WEB_X UCOM,0,0,0,0,1,0,0,0,2,1,2,4,4,2,1,0,1
DHO_X Fiber 100 - neba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
DHO_X Fiber 100 - own,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
DHO_X Fiber 200 - neba,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
DHO_X Fiber 200 - own,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,0,1
DHO_X Fiber 50 - neba,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
DHO_X Fiber 50 - own,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0
DHO_X Music,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0
DHO_X Privacy 100,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0
DHO_X Privacy 200,0,0,0,0,0,0,0,0,2,0,0,0,3,0,0,0,0
DHO_X Privacy 50,0,0,0,0,0,0,4,4,0,0,10,2,0,0,0,0,1
DHO_X Protection,0,0,0,0,0,0,0,2,3,0,1,1,1,2,2,8,0
DHO_X Security 100,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0
DHO_X Security 200,0,0,0,0,0,0,0,0,0,0,0,0,3,0,2,0,0
DHO_Teamwork+PBX,0,0,0,3,1,6,1,1,4,10,5,5,9,4,11,20,0
IT integrator_X Fiber 100 - neba,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
IT integrator_X Fiber 200 - own,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
IT integrator_X Music,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0
IT integrator_X Protection,0,0,0,0,0,0,1,0,1,0,0,1,0,4,0,0,0
IT integrator_X Security 100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
IT integrator_Teamwork+PBX,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
Venta Directa_X Music,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
Venta Directa_X Privacy 100,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0
WEB_X Fiber 200 - neba,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0
WEB_X Fiber 200 - own,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
WEB_X Fiber 50 - own,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
WEB_X Music,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
WEB_X Protection,0,0,0,2,0,0,1,1,0,0,0,0,0,7,0,0,0
WEB_Teamwork+PBX,0,0,0,0,1,0,0,0,3,2,4,14,5,3,2,0,1
